iter	Logloss	Accuracy
0	0.6477444447	0.7832728105
1	0.6115629545	0.7832728105
2	0.5836969795	0.7832728105
3	0.5641108382	0.7832728105
4	0.5504084557	0.7832728105
5	0.5389159025	0.7832728105
6	0.5301727363	0.7832728105
7	0.5232686823	0.7832728105
8	0.5182163247	0.7832728105
9	0.5139788952	0.7832728105
10	0.5110730433	0.7832728105
11	0.5084458026	0.7832728105
12	0.5064399367	0.7832728105
13	0.5046528458	0.7832728105
14	0.5033618147	0.7832728105
15	0.5022986423	0.7832728105
16	0.5013445945	0.7832728105
17	0.5004323029	0.7832728105
18	0.4996513197	0.7832728105
19	0.4991177574	0.7833299974
20	0.4986688058	0.7833414348
21	0.4981890803	0.7833528722
22	0.4977817449	0.7833471535
23	0.497312667	0.7834615275
24	0.4968244123	0.7834958396
25	0.496501492	0.7835015583
26	0.4961158905	0.7835244331
27	0.4957862386	0.7835473079
28	0.4955063204	0.7835816201
29	0.4952380438	0.7836044949
30	0.4950091372	0.7836273697
31	0.4947904047	0.7836616819
32	0.494586802	0.7836845567
33	0.4943269523	0.7837017127
34	0.4941396499	0.7837303062
35	0.4939408706	0.7837303062
36	0.4937484887	0.7837360249
37	0.4936166619	0.7837703371
38	0.4934810449	0.7838046493
39	0.4932916786	0.7838561176
40	0.4930942107	0.7839018672
41	0.4929348845	0.7839647728
42	0.4927825783	0.7839819289
43	0.4926526457	0.7840276785
44	0.492478923	0.7840505533
45	0.4923659447	0.7840791468
46	0.4922712153	0.7840963029
47	0.4921590351	0.7841191777
48	0.4919916874	0.7841706459
49	0.491872685	0.7842049581
50	0.491724134	0.7842392703
51	0.4916245449	0.7842964573
52	0.4915520561	0.7842621451
53	0.4914268943	0.7843708003
54	0.4913254338	0.7843536442
55	0.4912271408	0.7844108312
56	0.4911394466	0.7843936751
57	0.4910762999	0.7844508621
58	0.4909875395	0.784490893
59	0.4909271483	0.784490893
60	0.490867962	0.784565236
61	0.4907839675	0.7846052669
